,Subject,Course,Year,#_Stu_Enrolled,#_Stu_Responses,AvgHrsPerWk,AvgPriorInt,AvgInstrEffect,AvgAvailability,AvgChallenge,AvgLearned,AvgInstrRespect,AvgCourse,AvgInstructor,Std_Dev_Course,Std_Dev_Instr
2830,FREN,6840,2015.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,4.0,6.0,,
2831,FRSI,1010,2014.2727272727273,21.272727272727273,16.90909090909091,3.127272727272727,4.927272727272727,5.181818181818181,5.127272727272728,4.627272727272726,5.263636363636364,5.718181818181818,5.372727272727271,5.427272727272727,0.7727272727272727,0.7999999999999999
2832,FRSI,1011,2015.0,14.777777777777779,9.88888888888889,2.1111111111111116,4.7844444444444445,4.847777777777777,4.733333333333333,3.993333333333333,4.698888888888888,5.382222222222222,4.790000000000001,5.048888888888889,1.2544444444444445,1.3622222222222224
2833,FRSI,1020,2015.0,14.0,10.0,3.033333333333333,5.207777777777778,5.2188888888888885,5.188888888888889,4.833333333333333,5.33,5.644444444444444,5.4,5.418888888888889,0.8444444444444444,0.8311111111111111
2834,FRSI,1051,2017.5,10.0,7.0,2.4000000000000004,4.25,4.699999999999999,4.4,3.5999999999999996,5.1,5.25,5.05,5.0,1.0499999999999998,1.1
2835,FRSI,2010,2010.5,14.0,10.5,3.25,5.65,5.35,5.4,5.65,5.199999999999999,5.85,5.35,5.300000000000001,0.95,1.0499999999999998
2836,FRSI,2020,2011.5,10.5,7.0,3.6,5.6,5.65,5.800000000000001,5.4,5.45,5.95,5.45,5.5,0.45,0.4
2837,FRSI,2110,2015.0,5.666666666666667,4.666666666666667,2.9166666666666665,5.55,5.266666666666667,4.916666666666667,5.033333333333333,5.383333333333333,5.383333333333333,5.183333333333334,5.366666666666667,0.5666666666666667,0.5499999999999999
2838,FRSI,2120,2016.0,5.0,4.0,2.6783333333333332,5.628333333333334,5.238333333333333,5.338333333333334,4.95,5.305000000000001,5.1,5.238333333333334,5.316666666666667,0.6716666666666667,0.5383333333333333
2839,FRSI,3010,2010.5,9.5,9.0,2.45,5.800000000000001,5.85,6.0,5.3,5.55,5.9,5.75,5.800000000000001,0.5,0.45
2840,FRSI,3020,2011.0,5.0,3.0,1.5,4.7,4.7,4.7,4.0,4.7,4.3,4.7,4.3,1.5,1.2
2841,FRSI,3110,2013.5,5.25,4.75,2.325,5.449999999999999,5.525,5.7749999999999995,5.425,5.4,5.9,5.7,5.85,0.375,0.225
2842,FRSI,3120,2015.0,4.333333333333333,3.0,2.8333333333333335,5.533333333333334,4.933333333333334,4.833333333333333,5.1000000000000005,4.5,5.366666666666667,4.666666666666667,5.033333333333333,0.7333333333333334,0.9
2843,FRSI,4900,2016.0,3.0,3.0,2.95,5.7,5.875,5.65,5.125,5.675,6.0,5.775,6.0,0.7,0.0
